Channel,Unix Timestamp,CAN ID (Hex),EXT,DLC,B1,B2,B3,B4,B5,B6,B7,B8
CAN2,1503051634.260673,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051634.270150,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051634.280090,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051634.290043,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051634.290639,15FF2500,1,8,FF,FF,F0,F0,FF,FF,FF,FF
CAN2,1503051634.300075,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051634.310117,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051634.320128,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051634.330083,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051634.340240,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051634.350096,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051634.360091,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051634.370140,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051634.380052,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051634.390043,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051634.390640,15FF2500,1,8,FF,FF,F0,F0,FF,FF,FF,FF
CAN2,1503051634.400079,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051634.410111,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051634.420109,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051634.429922,18FD7C00,1,8,F8,83,05,00,D3,1F,03,FF
CAN2,1503051634.430515,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051634.440097,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051634.450012,18FEF600,1,8,FF,73,FE,FF,FF,FF,FF,FF
CAN2,1503051634.450601,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051634.460081,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051634.470140,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051634.480073,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051634.485134,18FEDF00,1,8,7D,A0,28,7D,7D,FF,FF,F0
CAN2,1503051634.490038,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051634.490634,15FF2500,1,8,FF,FF,F0,F0,FF,FF,FF,FF
CAN2,1503051634.500034,0CFD9200,1,8,F0,FF,FF,FF,FF,FF,FF,FF
CAN2,1503051634.500623,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051634.510128,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051634.520127,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051634.530087,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051634.540154,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051634.550105,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051634.560072,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051634.570239,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051634.580064,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051634.590066,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051634.590654,15FF2500,1,8,FF,FF,F0,F0,FF,FF,FF,FF
CAN2,1503051634.600086,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051634.610147,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051634.620123,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051634.630178,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051634.640091,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051634.650102,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051634.730115,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051634.740121,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051634.745085,18FEDF00,1,8,7D,A0,28,7D,7D,FF,FF,F0
CAN2,1503051634.750018,0CFD9200,1,8,F0,FF,FF,FF,FF,FF,FF,FF
CAN2,1503051634.750603,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
