Channel,Unix Timestamp,CAN ID (Hex),EXT,DLC,B1,B2,B3,B4,B5,B6,B7,B8
CAN2,1503052793.390068,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052793.397200,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052793.400113,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052793.410165,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052793.415020,18FEDF00,1,8,7D,A0,28,7D,7D,FF,FF,F0
CAN2,1503052793.420176,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052793.422180,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052793.430117,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052793.440087,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052793.440683,15FF2500,1,8,FF,FF,F0,F0,FF,FF,FF,FF
CAN2,1503052793.447145,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052793.450139,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052793.460097,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052793.470185,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052793.472190,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052793.480132,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052793.490095,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052793.497153,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052793.500033,0CFD9200,1,8,F0,FF,FF,FF,FF,FF,FF,FF
CAN2,1503052793.500625,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052793.510134,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052793.520220,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052793.522231,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052793.530087,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052793.540117,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052793.540705,15FF2500,1,8,FF,FF,F0,F0,FF,FF,FF,FF
CAN2,1503052793.547184,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052793.550109,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052793.560116,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052793.570188,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052793.572199,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052793.580118,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052793.590159,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052793.597163,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052793.600115,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052793.610170,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052793.620180,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052793.622185,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052793.630122,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052793.640106,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052793.640693,15FF2500,1,8,FF,FF,F0,F0,FF,FF,FF,FF
CAN2,1503052793.647145,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052793.650115,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052793.722136,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052793.730116,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052793.740162,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052793.740757,15FF2500,1,8,FF,FF,F0,F0,FF,FF,FF,FF
CAN2,1503052793.747164,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052793.750055,0CFD9200,1,8,F0,FF,FF,FF,FF,FF,FF,FF
CAN2,1503052793.750643,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052793.760116,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052793.770244,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052793.772251,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052793.780124,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052793.790085,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052793.797215,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052793.800124,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052793.810166,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052793.820194,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052793.822206,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052793.830161,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052793.840119,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052793.840706,15FF2500,1,8,FF,FF,F0,F0,FF,FF,FF,FF
CAN2,1503052793.847163,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052793.850116,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052793.860116,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052793.870183,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052793.872190,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052793.879872,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052793.890118,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052793.897154,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052793.900142,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052793.910175,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052793.922195,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052793.930124,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052793.935142,18FEDF00,1,8,7D,A0,28,7D,7D,FF,FF,F0
CAN2,1503052793.940117,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052793.940704,15FF2500,1,8,FF,FF,F0,F0,FF,FF,FF,FF
CAN2,1503052793.947155,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052793.950114,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052793.960116,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052793.970269,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052793.972282,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052793.980156,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052793.990087,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052793.997242,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052794.000006,0CFD9200,1,8,F0,FF,FF,FF,FF,FF,FF,FF
CAN2,1503052794.000595,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052794.010143,18FEEE00,1,8,41,FF,FF,FF,FF,FF,FF,FF
CAN2,1503052794.010734,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052794.020194,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052794.022202,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052794.030125,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052794.040089,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052794.040676,15FF2500,1,8,FF,FF,F0,F0,FF,FF,FF,FF
CAN2,1503052794.047168,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052794.050096,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052794.060093,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052794.070177,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052794.072185,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052794.080111,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052794.090176,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052794.097180,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052794.100101,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052794.110148,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052794.120183,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052794.122195,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052794.130089,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052794.140087,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052794.140679,15FF2500,1,8,FF,FF,F0,F0,FF,FF,FF,FF
CAN2,1503052794.147159,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052794.150093,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052794.160095,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052794.170152,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052794.172159,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052794.179963,18FD7C00,1,8,F8,83,05,00,D3,1F,03,FF
CAN2,1503052794.180551,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052794.190089,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052794.195007,18FEDF00,1,8,7D,A0,28,7D,7D,FF,FF,F0
CAN2,1503052794.197127,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052794.200020,18FEF600,1,8,FF,73,FE,FF,FF,FF,FF,FF
CAN2,1503052794.200608,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052794.210137,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052794.220168,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052794.222176,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052794.230095,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052794.240092,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052794.240686,15FF2500,1,8,FF,FF,F0,F0,FF,FF,FF,FF
CAN2,1503052794.247139,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052794.250048,0CFD9200,1,8,F0,FF,FF,FF,FF,FF,FF,FF
CAN2,1503052794.250636,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052794.260091,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052794.270172,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052794.272184,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052794.280125,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052794.290125,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052794.297142,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052794.300108,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052794.310135,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052794.320273,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052794.322282,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052794.330093,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052794.340105,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052794.340699,15FF2500,1,8,FF,FF,F0,F0,FF,FF,FF,FF
CAN2,1503052794.347244,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052794.350100,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052794.360128,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052794.370174,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052794.372200,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052794.380220,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052794.390085,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052794.397201,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052794.400114,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052794.410173,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
